,Title,URL,Thumbnail_url,Channel name,Description
0,مباراة | الأهلي 2-0 طلائع الجيش | الجولة الثلاثون | الدوري المصري 2023/2024,https://www.youtube.com/watch?v=-EP5FApPQ4Q,https://i.ytimg.com/vi/-EP5FApPQ4Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtR5_I5_WGL3HUk4QWYZmLLVLWog,kora plus,مباراة | الأهلي 2-0 طلائع الجيش | الجولة الثلاثون | الدوري المصري 2023/2024
1,الكورة مع فايق| نادر شوقي يتحدث باكياً عن أزمة أحمد رفعت التي تسبب في وفاته وانهيار أبراهيم فايق,https://www.youtube.com/watch?v=6rWAGvbE_W4,https://i.ytimg.com/vi/6rWAGvbE_W4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCRJVPDaRCCiSQHbXM32wEe29Kpw,الكورة مع فايق ,الكورة مع فايق| نادر شوقي يتحدث باكياً عن أزمة أحمد رفعت التي تسبب في وفاته وانهيار أبراهيم فايق
2,الكورة مع فايق | نادر شوقي: اللي فاهم هو اللي يشتغل وجالي 50 تليفون عشان ماطلعش معاك,https://www.youtube.com/watch?v=-9Bix0W-zFg,,MBC MASR 2,الكورة مع فايق | نادر شوقي: اللي فاهم هو اللي يشتغل وجالي 50 تليفون عشان ماطلعش معاك
3,شرح وفرم وحل ( باب أول وثاني) جيولوجيا مراجعة ليالي الامتحان 💪🏻🔥,https://www.youtube.com/watch?v=099x_VMaTus,,Geo maged emam,شرح وفرم وحل ( باب أول وثاني) جيولوجيا مراجعة ليالي الامتحان 💪🏻🔥
4,"كليب "" وسطك طري اوي أستك "" فارس سكر _ توزيع قط كرموز | 2024",https://www.youtube.com/watch?v=AtYyqDKQbNc,,Fares Sokar - فارس سكر,"كليب "" وسطك طري اوي أستك "" فارس سكر _ توزيع قط كرموز | 2024"
5,ليه زعلانين أنا ونشوي 🤔 إحكمو انتو👉,https://www.youtube.com/watch?v=LL1ywmss4JA,,مع عائلة علي,ليه زعلانين أنا ونشوي 🤔 إحكمو انتو👉
6,تحدي اقوي حواوشي في مصر ٢٠٢٤ 🥩🥙🇪🇬 اضرب مع سري,https://www.youtube.com/watch?v=eiZCZChEDsc,,Marwan Serry - مروان سري ,تحدي اقوي حواوشي في مصر ٢٠٢٤ 🥩🥙🇪🇬 اضرب مع سري
7,تحدي مين أحسن طباخ في تريبلز🧑‍🍳مع ملك أشرف,https://www.youtube.com/watch?v=0_Mho-MjLGk,,TRIPLEZ - تريبلز,تحدي مين أحسن طباخ في تريبلز🧑‍🍳مع ملك أشرف
8,جربت 5 منتجات من المستقبل ! 🤖,https://www.youtube.com/watch?v=zDulJu67fkM,,اسراء نبيل - Esraa Nabil,جربت 5 منتجات من المستقبل ! 🤖
9,Nancy Ajram - Men Nazra (Official Music Video) / نانسي عجرم - من نظرة,https://www.youtube.com/watch?v=UFn1-pTQ85s,,Nancy Ajram,Nancy Ajram - Men Nazra (Official Music Video) / نانسي عجرم - من نظرة
